19:04:04,temp = 36.2224X = 356,Y = 7
19:04:05,temp = 35.6456X = 340,Y = 120
19:04:05,temp = 35.8763X = 341,Y = 90
19:04:05,temp = 35.6456X = 173,Y = 121
19:04:06,temp = 35.6456X = 169,Y = 107
19:04:06,temp = 35.8763X = 182,Y = 112
19:04:06,temp = 35.8763X = 181,Y = 118
19:04:44,temp = 36.6838,X = 181,Y = 111
19:04:45,temp = 36.6838,X = 334,Y = 137
19:04:45,temp = 36.6838,X = 334,Y = 137
19:04:45,temp = 36.6838,X = 184,Y = 125
19:04:46,temp = 36.6838,X = 181,Y = 120
19:05:20,temp = 37.9526,X = 183,Y = 108
19:05:20,temp = 38.1833,X = 341,Y = 113
19:05:20,temp = 38.1833,X = 340,Y = 120
19:05:21,temp = 38.1833,X = 335,Y = 105
19:05:21,temp = 37.9526,X = 182,Y = 114
19:05:21,temp = 37.722,X = 183,Y = 113
19:05:22,temp = 37.9526,X = 340,Y = 120
19:05:22,temp = 37.9526,X = 332,Y = 113
19:05:22,temp = 37.9526,X = 340,Y = 113
19:05:23,temp = 37.9526,X = 183,Y = 113
19:05:23,temp = 37.9526,X = 171,Y = 109
19:05:23,temp = 37.9526,X = 167,Y = 117
19:05:24,temp = 37.9526,X = 157,Y = 100
19:05:24,temp = 37.9526,X = 154,Y = 111
19:05:25,temp = 37.9526,X = 167,Y = 113
19:05:25,temp = 38.1833,X = 340,Y = 114
19:05:25,temp = 37.9526,X = 182,Y = 111
19:05:26,temp = 37.9526,X = 184,Y = 110
19:05:26,temp = 37.9526,X = 341,Y = 111
19:05:26,temp = 37.722,X = 183,Y = 108
19:05:27,temp = 37.722,X = 174,Y = 108
19:05:27,temp = 37.9526,X = 183,Y = 108
19:05:27,temp = 37.9526,X = 182,Y = 111
19:05:28,temp = 37.9526,X = 372,Y = 52
19:05:28,temp = 37.9526,X = 181,Y = 111
19:05:28,temp = 37.9526,X = 180,Y = 117
19:05:29,temp = 37.9526,X = 184,Y = 110
19:05:29,temp = 38.1833,X = 365,Y = 59
